amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	price-designation	customized-url	customized-page 
111-6893386-8922615		2023-02-01T05:08:28+00:00	2023-02-04T01:33:54+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	15.65	1.68							HAYWARD	CA	94541-5202	US		FALSE		https://zme-caps.amazon.com/t/Y3Hsd1Wyg7dO/itTo64bGjxWXR3JZoXb3981BRlX9xBJZhH0zwAarKEU/18	https://a.co/2zuhi9A
113-6228741-7743414		2023-02-01T05:37:57+00:00	2023-02-02T13:32:09+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	22.65	1.87							AURORA	IL	60502-9365	US		FALSE		https://zme-caps.amazon.com/t/84msD4XBGvKI/j2xKi-rjMGumXu-ljGHoS0X796XKXts8e72IAmNGS78/18	https://a.co/iDGXd6O
113-6228741-7743414		2023-02-01T05:37:57+00:00	2023-02-02T13:32:09+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	25.65	2.12							AURORA	IL	60502-9365	US		FALSE		https://zme-caps.amazon.com/t/CCzPQHqRQOW2/Shiyx8E4BG-AJI_ekQBq10nFS1hCAjERWGtscDnmcGI/18	https://a.co/awI8cV6
113-1672933-3344216		2023-02-01T05:43:11+00:00	2023-02-06T17:45:51+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	20.65	1.81							AURORA	CO	80016-7853	US		FALSE		https://zme-caps.amazon.com/t/FFg4XIkIf74r/jHM1OCQ74LGpdYXmi-y1jissW1LnUM2DtGwzfTI99ug/18	https://a.co/aL4hXZr
114-1089746-8369062		2023-02-01T06:28:34+00:00	2023-02-01T15:56:32+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	27.65	2.97							SAN LEANDRO	CA	94577-6110	US		FALSE		https://zme-caps.amazon.com/t/uyHNHfF3ZXgg/jlkNctVaDDr7PE0zIHllCuQTJsqO75YZ9U3bnCKIkzI/18	https://a.co/gEqGn8E
111-2575260-5179465		2023-02-01T10:58:47+00:00	2023-02-01T16:06:44+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	18.65	1.12							CHESAPEAKE BEACH	MD	20732-4676	US		FALSE		https://zme-caps.amazon.com/t/bnJAxAIR6r2i/txhFEpb13UqfaHG1lyz63f4T7wxGIPJEAnrjho9e4zA/18	https://a.co/7lMUGiG
112-6502862-7749856		2023-02-01T11:32:12+00:00	2023-02-02T07:42:19+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Cursive Letter Balloons - Custom Script Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	XCURSIVELETTERS	B09CW233GB	1	Shipped	1	USD	25.68								SAIPAN	MP	96950-2172	US		FALSE		https://zme-caps.amazon.com/t/0jjuRJjYbYgz/aE-dcP_d2LiEz5fYaF9xihtgB0UEPlU5zspAd_WVf1U/18	https://a.co/geFQ0gI
111-0379507-5991401		2023-02-01T12:47:26+00:00	2023-02-01T15:55:20+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	22.65	2.15							Monterey Park	CA	91754	US		FALSE		https://zme-caps.amazon.com/t/BYOgTrXIAZiF/ac2pqD2BQ4ScKCdlxqkD5bQjsJ21_gY8KjJeQyngJM0/18	https://a.co/3cgqMCA
111-6069223-0380221		2023-02-01T13:06:14+00:00	2023-02-02T19:51:55+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Letter Balloons - Custom Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	CUSTOMLETTERS	B08KRMCTLV	1	Shipped	1	USD	16.65	1.17							MIAMI	FL	33189-7339	US		FALSE		https://zme-caps.amazon.com/t/mb6f7dPbZ6HO/39pU5z3DEs777m5CO-PBAMylEtMDjdJiYlbGIWZ5JZc/18	https://a.co/d32ftk1
111-7095311-1012234		2023-02-01T13:42:08+00:00	2023-02-02T02:56:34+00:00	Shipped	Merchant	Amazon.com	WebsiteOrderChannel		Standard	"Cursive Letter Balloons - Custom Script Phrase 16"" Inch Alphabet Letters & Numbers Foil Mylar Balloon - Create Your Own Balloon Banner"	XCURSIVELETTERS	B09CW233GB	1	Shipped	1	USD	1.69	0.14							FORSYTH	GA	31029-1961	US		FALSE		https://zme-caps.amazon.com/t/K7mkRHOssDX7/CfD9DrL8Bq_z5riiXD92B7p_LVz44ni89ctgH0xH4ys/18	https://a.co/6bIR6hM
